1, Norwegian Fjord Horse., Zhuria.NorwegianFjordHorse, https://www.nexusmods.com/stardewvalley/mods/1?tab=files&file_id=50764
4, CJB Cheats Menu, CJBok.CheatsMenu, https://www.nexusmods.com/stardewvalley/mods/4?tab=files&file_id=72679
5, CJB Show Item Sell Price, CJBok.ShowItemSellPrice, https://www.nexusmods.com/stardewvalley/mods/5?tab=files&file_id=72681
41, Better Sprinklers Mod, Speeder.BetterSprinklers, https://www.nexusmods.com/stardewvalley/mods/41?tab=files&file_id=20848
63, CP Red Beard Clint 1.4, Undare.RedBeardClint, https://www.nexusmods.com/stardewvalley/mods/63?tab=files&file_id=23222
76, Simple Sprinkler, tZed.SimpleSprinkler, https://www.nexusmods.com/stardewvalley/mods/76?tab=files&file_id=14548
93, CJB Item Spawner, CJBok.ItemSpawner, https://www.nexusmods.com/stardewvalley/mods/93?tab=files&file_id=72680
111, Matching Slime Hutch, SlushieSlowpoke.MatchingSlimeHutch, https://www.nexusmods.com/stardewvalley/mods/111?tab=files&file_id=50742
132, Improved and New Hairstyles, Chrysanthe.RefinedHairstyles, https://www.nexusmods.com/stardewvalley/mods/132?tab=files&file_id=22745
135, Moped Scooter Horse, monteso.MopedScooterHorse, https://www.nexusmods.com/stardewvalley/mods/135?tab=files&file_id=18661
141, Pet Junimo, monteso.junimopet, https://www.nexusmods.com/stardewvalley/mods/141?tab=files&file_id=7594
159, Shorter-haired Sebastian, Chrysanthe.SHSebastian, https://www.nexusmods.com/stardewvalley/mods/159?tab=files&file_id=22803
169, TimeSpeed, cantorsdust.TimeSpeed, https://www.nexusmods.com/stardewvalley/mods/169?tab=files&file_id=72673
172, Recatch Legendary Fish, cantorsdust.RecatchLegendaryFish, https://www.nexusmods.com/stardewvalley/mods/172?tab=files&file_id=72672
173, Instant Grow Trees, cantorsdust.InstantGrowTrees, https://www.nexusmods.com/stardewvalley/mods/173?tab=files&file_id=72671
174, All Professions, cantorsdust.AllProfessions, https://www.nexusmods.com/stardewvalley/mods/174?tab=files&file_id=72670
193, Enemy Health Bars (SMAPI), Speeder.HealthBars, https://www.nexusmods.com/stardewvalley/mods/193?tab=files&file_id=20827
196, House and building customisation - Content Patcher, Lumisteria.LumisteriaBuildings, https://www.nexusmods.com/stardewvalley/mods/196?tab=files&file_id=33499
229, Gift Taste Helper, tstaples.GiftTasteHelper, https://www.nexusmods.com/stardewvalley/mods/229?tab=files&file_id=15429
235, Sprint and Dash Buttons, SPDSprintAndDash, https://www.nexusmods.com/stardewvalley/mods/235?tab=files&file_id=20921
237, No Soil Decay, 289dee03-5f38-4d8e-8ffc-e440198e8610, https://www.nexusmods.com/stardewvalley/mods/237?tab=files&file_id=929
239, NPC Map Locations, Bouhm.NPCMapLocations, https://www.nexusmods.com/stardewvalley/mods/239?tab=files&file_id=72677
242, Chest Label System, SPDChestLabel, https://www.nexusmods.com/stardewvalley/mods/242?tab=files&file_id=20862
252, Slower Fence Decay, SPDSlowFenceDecay, https://www.nexusmods.com/stardewvalley/mods/252?tab=files&file_id=962
257, AccessChestAnywhere, AccessChestAnywhere, https://www.nexusmods.com/stardewvalley/mods/257?tab=files&file_id=1058
260, A Tappers Dream - A Tree Overhaul, Goldenrevolver.ATappersDream, https://www.nexusmods.com/stardewvalley/mods/260?tab=files&file_id=22258
279, Loved Labels, Advize.LovedLabels, https://www.nexusmods.com/stardewvalley/mods/279?tab=files&file_id=4966
280, Configurable Machines, 21da6619-dc03-4660-9794-8e5b498f5b97, https://www.nexusmods.com/stardewvalley/mods/280?tab=files&file_id=4624
313, Combat with Farming Implements, SPDFarmingImplementsInCombat, https://www.nexusmods.com/stardewvalley/mods/313?tab=files&file_id=1110
314, Simple Crop Label, SimpleCropLabel, https://www.nexusmods.com/stardewvalley/mods/314?tab=files&file_id=38797
316, Stone Bridge Over Pond, jinxiewinxie.StoneBridgeOverPond, https://www.nexusmods.com/stardewvalley/mods/316?tab=files&file_id=5835
331, -OBSOLETE-Get Dressed, Advize.GetDressed, https://www.nexusmods.com/stardewvalley/mods/331?tab=files&file_id=5763
346, No More Bowlegs, Chrysanthe.NoMoreBowlegs, https://www.nexusmods.com/stardewvalley/mods/346?tab=files&file_id=23147
349, Portrait-Accurate Alex (CP), Key.ChainAlexTouchups, https://www.nexusmods.com/stardewvalley/mods/349?tab=files&file_id=33427
356, Reusable Wallpapers and Floors, dae1b553-2e39-43e7-8400-c7c5c836134b, https://www.nexusmods.com/stardewvalley/mods/356?tab=files&file_id=2425
360, Sam's Hair Makeover, Chrysanthe.SamsHairMakeover, https://www.nexusmods.com/stardewvalley/mods/360?tab=files&file_id=22595
361, Interior Recolor - Content Patcher, Lumisteria.bedsrecolor, https://www.nexusmods.com/stardewvalley/mods/361?tab=files&file_id=34388
374, Dynamic Machines, DynamicMachines, https://www.nexusmods.com/stardewvalley/mods/374?tab=files&file_id=1375
405, Toddlers like parents - Content Patcher, Lumisteria.Toddlers, https://www.nexusmods.com/stardewvalley/mods/405?tab=files&file_id=24324
413, Black Motorcycle and Headless Horse (Content Patcher), Drex.BlackBike, https://www.nexusmods.com/stardewvalley/mods/413?tab=files&file_id=64016
425, Stardew Symphony - Add more music to Stardew, StardewSymphonyRemastered.ExamplePack, https://www.nexusmods.com/stardewvalley/mods/425?tab=files&file_id=16509
428, Museum Rearranger, Omegasis.MuseumRearranger, https://www.nexusmods.com/stardewvalley/mods/428?tab=files&file_id=13842
435, Advanced Save Backup, Omegasis.AdvancedSaveBackup, https://www.nexusmods.com/stardewvalley/mods/435?tab=files&file_id=50615
436, Secret of Evermore Futuristic Dog, SkyHacker.FutureDog, https://www.nexusmods.com/stardewvalley/mods/436?tab=files&file_id=15756
437, Secret of Evermore Prehistoric Dog, SkyHacker.PrehistoricDog, https://www.nexusmods.com/stardewvalley/mods/437?tab=files&file_id=15775
438, Persival's BundleMod - v1.0 (SMAPI), , https://www.nexusmods.com/stardewvalley/mods/438?tab=files&file_id=1594
439, Almighty Farming Tool, 439, https://www.nexusmods.com/stardewvalley/mods/439?tab=files&file_id=4479
441, More Rain, Omegasis.MoreRain, https://www.nexusmods.com/stardewvalley/mods/441?tab=files&file_id=39959
